model,fold,accuracy,precision_macro,recall_macro,f1_macro,epochs_run,train_time_s,n_train,n_val,n_test
EfficientNet-Lite,0,0.7816091954022989,0.8043414918414918,0.791939785360838,0.795410336976971,25,386.7,590,105,174
EfficientNet-Lite,1,0.8045977011494253,0.84426640660656,0.8195186684660368,0.8281150322603001,25,352.6,590,105,174
EfficientNet-Lite,2,0.7931034482758621,0.7991175155936402,0.7830428635691793,0.7867955496299066,25,331.9,590,105,174
EfficientNet-Lite,3,0.6839080459770115,0.6914353190668979,0.6793454790823211,0.6777529714313274,25,347.8,590,105,174
EfficientNet-Lite,4,0.7341040462427746,0.7421134421134421,0.7362155388471178,0.7383883182200632,25,367.5,591,105,173
MobileNetV2,0,0.7816091954022989,0.8106497626040969,0.7874654585180901,0.7959804720534537,25,413.2,590,105,174
MobileNetV2,1,0.7988505747126436,0.831626926865022,0.799660690187006,0.8112602408377056,23,447.4,590,105,174
MobileNetV2,2,0.7758620689655172,0.8232103006812309,0.7350366300366301,0.7563409838981979,20,390.0,590,105,174
MobileNetV2,3,0.7758620689655172,0.7843480396671887,0.773231476126213,0.773894651611095,25,432.7,590,105,174
MobileNetV2,4,0.7630057803468208,0.7978451178451178,0.7763157894736842,0.7801571508732635,24,454.7,591,105,173
ShuffleNetV2,0,0.6666666666666666,0.7212998177910458,0.6956734785682155,0.6989576052815546,25,320.6,590,105,174
ShuffleNetV2,1,0.6436781609195402,0.7017283353626271,0.6638435833172674,0.660091197578642,25,338.7,590,105,174
ShuffleNetV2,2,0.7183908045977011,0.7430207172054999,0.7150475547843969,0.7129984339176256,25,333.7,590,105,174
ShuffleNetV2,3,0.6666666666666666,0.6808637299648983,0.6454254225306857,0.641101993368799,25,341.6,590,105,174
ShuffleNetV2,4,0.6705202312138728,0.7109705539938097,0.6903717627401837,0.6945280033043443,25,324.0,591,105,173
VGG16,0,0.7068965517241379,0.7257259624906683,0.6927294197031039,0.7054226653201501,25,3266.1,590,105,174
VGG16,1,0.7011494252873564,0.7154242979242978,0.7208900456268877,0.7166433631355117,25,3239.8,590,105,174
